iteration,county_id,county_name,number_of_switches,old_district,new_district,dist1_pop,dist2_pop,dist3_pop,dist4_pop
1,69,Muscatine,1,1,4,1384263,274724,1328899,202483
2,81,Scott,1,1,4,1209594,274724,1328899,377152
3,29,Dickinson,1,3,2,1209594,292427,1311196,377152
4,10,Buena Vista,1,3,2,1209594,313250,1290373,377152
5,31,Emmet,1,3,2,1209594,322638,1280985,377152
6,73,Palo Alto,1,3,2,1209594,331634,1271989,377152
7,80,Sac,1,3,2,1209594,341448,1262175,377152
8,75,Pocahontas,1,3,2,1209594,348526,1255097,377152
9,54,Kossuth,1,3,2,1209594,363354,1240269,377152
10,45,Humboldt,1,3,2,1209594,372951,1230672,377152
11,12,Calhoun,1,3,2,1209594,382878,1220745,377152
12,89,Wapello,1,3,4,1209594,382878,1185308,412589
13,94,Winnebago,1,1,2,1198915,393557,1185308,412589
14,40,Hancock,1,1,2,1188120,404352,1185308,412589
15,98,Wright,1,1,2,1175177,417295,1185308,412589
16,25,Davis,1,3,4,1175177,417295,1176198,421699
17,93,Webster,1,3,2,1175177,454294,1139199,421699
18,51,Johnson,1,1,4,1022323,454294,1139199,574553
19,13,Carroll,1,3,2,1022323,475054,1118439,574553
20,36,Greene,1,3,2,1022323,483825,1109668,574553
21,82,Shelby,1,3,2,1022323,495571,1097922,574553
22,7,Boone,1,3,2,1022323,522286,1071207,574553
23,4,Audubon,1,3,2,1022323,527960,1065533,574553
24,77,Pottawattamie,1,3,2,1022323,621627,971866,574553
25,15,Cedar,1,1,4,1003818,621627,971866,593058
26,22,Clinton,1,1,4,957358,621627,971866,639518
27,84,Story,1,3,2,957358,720164,873329,639518
28,47,Iowa,1,1,4,940696,720164,873329,656180
29,48,Jackson,1,1,4,921211,720164,873329,675665
30,52,Jones,1,1,4,900565,720164,873329,696311
31,56,Linn,1,1,4,670266,720164,873329,926610
32,56,Linn,2,4,1,900565,720164,873329,696311
33,56,Linn,3,1,4,670266,720164,873329,926610
34,56,Linn,4,4,1,900565,720164,873329,696311
35,78,Poweshiek,1,1,4,881903,720164,873329,714973
36,30,Dubuque,1,1,4,782637,720164,873329,814239
37,38,Guthrie,1,3,2,782637,730787,862706,814239
38,64,Mills,1,3,2,782637,745271,848222,814239
39,14,Cass,1,3,2,782637,758398,835095,814239
40,35,Fremont,1,3,2,782637,765003,828490,814239
41,68,Montgomery,1,3,2,782637,775333,818160,814239
42,24,Dallas,1,3,2,782637,875011,718482,814239
43,24,Dallas,2,2,3,782637,775333,818160,814239
44,24,Dallas,3,3,2,782637,875011,718482,814239
45,24,Dallas,4,2,3,782637,775333,818160,814239
46,72,Page,1,3,2,782637,790544,802949,814239
47,30,Dubuque,2,4,1,881903,790544,802949,714973
48,30,Dubuque,3,1,4,782637,790544,802949,814239
49,30,Dubuque,4,4,1,881903,790544,802949,714973
50,49,Jasper,1,1,4,844090,790544,802949,752786
51,5,Benton,1,1,4,818515,790544,802949,778361
52,85,Tama,1,1,4,801380,790544,802949,795496
